Number,Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
1524,Chevrolet,Traverse,2011,22540.95,79161,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2011 chevrolet traverse with Rear camera, Sunroof, Navigation system. Condition: Dented door."
1525,Chevrolet,Tahoe,2009,41343.48,104152,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 chevrolet tahoe with Leather seats, Navigation system. Condition: Dented door."
1526,Chevrolet,Camaro,2022,17785.17,56278,Sports Car,6,Automatic Transmission,Gasoline,Blue, Sharjah,"2022 chevrolet camaro with Leather seats, Adaptive cruise control. Condition: Repainted bumper."
1527,Chevrolet,Corvette,2018,133612.47,171421,Hard Top Convertible,8,Automatic Transmission,Gasoline,Black, Dubai,"2018 chevrolet corvette with Bluetooth, Navigation system, Adaptive cruise control, Leather seats. Condition: Engine repaired."
1528,Chevrolet,Tahoe,2018,8291.43,289020,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2018 chevrolet tahoe with Leather seats, Navigation system. Condition: No damage."
1529,Chevrolet,Suburban,2011,7729.56,225127,SUV,8,Automatic Transmission,Gasoline,Blue, Sharjah,"2011 chevrolet suburban with Bluetooth, Leather seats, Adaptive cruise control. Condition: Engine repaired."
1530,Chevrolet,Corvette,2009,11279.52,218559,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2009 chevrolet corvette with Navigation system, Bluetooth. Condition: No damage."
1531,Chevrolet,Camaro,2021,15107.31,158172,Soft Top Convertible,6,Automatic Transmission,Diesel,Yellow, Dubai,"2021 chevrolet camaro with Navigation system, Rear camera, Bluetooth. Condition: Dented door."
1532,Chevrolet,Corvette,2011,101466,269696,Sports Car,8,Automatic Transmission,Gasoline,Red, Sharjah,"2011 chevrolet corvette with Navigation system, Sunroof, Leather seats, Adaptive cruise control. Condition: Accident history."
1533,Chevrolet,Traverse,2010,20513.79,100773,SUV,6,Automatic Transmission,Gasoline,Other Color, Abu Dhabi,"2010 chevrolet traverse with Adaptive cruise control, Bluetooth, Leather seats, Navigation system. Condition: Accident history."
1534,Chevrolet,Silverado,2020,28933.2,190402,Other,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2020 chevrolet silverado with Sunroof, Adaptive cruise control, Leather seats. Condition: Engine repaired."
1535,Chevrolet,Tahoe,2014,37208.16,38332,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2014 chevrolet tahoe with Adaptive cruise control, Bluetooth. Condition: Engine repaired."
1536,Chevrolet,Suburban,2021,11009.52,153548,SUV,8,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2021 chevrolet suburban with Navigation system, Bluetooth. Condition: Repainted bumper."
1537,Chevrolet,Tahoe,2013,27689.04,206692,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2013 chevrolet tahoe with Bluetooth, Navigation system. Condition: Repainted bumper."
1538,Chevrolet,Silverado,2008,22550.94,190473,Utility Truck,8,Automatic Transmission,Gasoline,Gold, Sharjah,"2008 chevrolet silverado with Bluetooth, Adaptive cruise control, Sunroof. Condition: No damage."
1539,Chevrolet,Caprice,2009,6211.35,248131,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2009 chevrolet caprice with Bluetooth, Adaptive cruise control. Condition: Minor scratches."
1540,Chevrolet,Tahoe,2017,10947.15,20948,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2017 chevrolet tahoe with Navigation system, Bluetooth, Rear camera. Condition: Engine repaired."
1541,Chevrolet,Camaro,2013,49295.52,242282,Coupe,8,Automatic Transmission,Gasoline,Yellow, Dubai,"2013 chevrolet camaro with Rear camera, Navigation system, Bluetooth, Leather seats. Condition: Accident history."
1542,Chevrolet,Impala,2020,13384.71,220592,Sedan,6,Automatic Transmission,Gasoline,Red, Sharjah,"2020 chevrolet impala with Rear camera, Adaptive cruise control, Leather seats, Bluetooth. Condition: Dented door."
1543,Chevrolet,Spark,2020,7965.54,271972,Hatchback,4,Manual Transmission,Gasoline,Blue, Dubai,"2020 chevrolet spark with Bluetooth, Leather seats, Rear camera, Adaptive cruise control. Condition: Repainted bumper."
1544,Chevrolet,Impala,2019,17088.84,246872,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2019 chevrolet impala with Adaptive cruise control, Sunroof. Condition: Accident history."
1545,Chevrolet,Camaro,2018,54415.26,175960,Sports Car,8,Automatic Transmission,Gasoline,Silver, Dubai,"2018 chevrolet camaro with Sunroof, Adaptive cruise control, Rear camera, Bluetooth. Condition: Accident history."
1546,Chevrolet,Suburban,2012,49624.11,215007,SUV,0,Automatic Transmission,Gasoline,White, Dubai,"2012 chevrolet suburban with Bluetooth, Leather seats. Condition: Dented door."
1547,Chevrolet,Spark,2016,9246.42,280710,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2016 chevrolet spark with Adaptive cruise control, Bluetooth, Sunroof, Rear camera. Condition: Engine repaired."
1548,Chevrolet,Corvette,2006,68451.48,150778,Coupe,8,Manual Transmission,Gasoline,Blue, Abu Dhabi,"2006 chevrolet corvette with Adaptive cruise control, Bluetooth. Condition: Dented door."
1549,Chevrolet,Malibu,2022,6217.02,125879,Sedan,4,Automatic Transmission,Gasoline,Brown, Dubai,"2022 chevrolet malibu with Adaptive cruise control, Navigation system, Sunroof. Condition: Minor scratches."
1550,Chevrolet,Silverado,2014,20565.63,192640,Pick Up Truck,8,Automatic Transmission,Gasoline,Red, Dubai,"2014 chevrolet silverado with Navigation system, Sunroof, Leather seats, Bluetooth. Condition: Accident history."
1551,Chevrolet,Silverado,2008,18523.89,133114,SUV,6,Automatic Transmission,Gasoline,Brown, Sharjah,"2008 chevrolet silverado with Sunroof, Leather seats, Rear camera, Bluetooth. Condition: Minor scratches."
1552,Chevrolet,Silverado,2010,17266.23,186305,Pick Up Truck,8,Automatic Transmission,Gasoline,Brown, Dubai,"2010 chevrolet silverado with Adaptive cruise control, Leather seats, Bluetooth. Condition: Engine repaired."
1553,Chevrolet,Traverse,2009,6656.31,70120,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2009 chevrolet traverse with Sunroof, Adaptive cruise control, Navigation system, Rear camera. Condition: No damage."
1554,Chevrolet,Blazer,2016,33740.01,87044,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2016 chevrolet blazer with Rear camera, Sunroof, Leather seats, Bluetooth. Condition: Repainted bumper."
1555,Chevrolet,Impala,2010,10514.61,48412,Sedan,4,Manual Transmission,Gasoline,White, Sharjah,"2010 chevrolet impala with Navigation system, Sunroof, Rear camera. Condition: Dented door."
1556,Chevrolet,Traverse,2013,6253.74,240838,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 chevrolet traverse with Navigation system, Rear camera. Condition: No damage."
1557,Chevrolet,Captiva,2009,6181.65,102305,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2009 chevrolet captiva with Sunroof, Rear camera. Condition: No damage."
1558,Chevrolet,Camaro,2018,14231.16,113172,Coupe,8,Manual Transmission,Gasoline,White, Dubai,"2018 chevrolet camaro with Adaptive cruise control, Leather seats, Sunroof, Navigation system. Condition: No damage."
1559,Chevrolet,Tahoe,2010,20236.77,44914,SUV,8,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2010 chevrolet tahoe with Bluetooth, Navigation system. Condition: No damage."
1560,Chevrolet,Camaro,2022,32871.42,299445,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2022 chevrolet camaro with Sunroof, Bluetooth, Navigation system. Condition: Repainted bumper."
1561,Chevrolet,Suburban,2017,62511.48,151938,SUV,0,Automatic Transmission,Gasoline,White, Dubai,"2017 chevrolet suburban with Sunroof, Rear camera, Navigation system. Condition: No damage."
1562,Chevrolet,Silverado,2005,29242.08,57123,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2005 chevrolet silverado with Sunroof, Leather seats. Condition: Repainted bumper."
1563,Chevrolet,Silverado,2006,9467.55,89288,Pick Up Truck,8,Automatic Transmission,Gasoline,White, Dubai,"2006 chevrolet silverado with Navigation system, Rear camera, Bluetooth. Condition: Dented door."
1564,Chevrolet,Corvette,2010,40202.46,256679,Sports Car,8,Automatic Transmission,Gasoline,Red,Abu Dhabi,"2010 chevrolet corvette with Adaptive cruise control, Rear camera, Leather seats. Condition: Repainted bumper."
1565,Chevrolet,Camaro,2016,23231.34,234392,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai,"2016 chevrolet camaro with Bluetooth, Sunroof, Adaptive cruise control. Condition: Accident history."
1566,Chevrolet,Equinox,2008,15867.36,89957,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2008 chevrolet equinox with Rear camera, Adaptive cruise control, Navigation system, Bluetooth. Condition: Engine repaired."
1567,Chevrolet,Suburban,2022,10330.2,233050,SUV,8,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2022 chevrolet suburban with Leather seats, Navigation system, Bluetooth. Condition: Engine repaired."
1568,Chevrolet,Tahoe,2014,28999.08,24572,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2014 chevrolet tahoe with Sunroof, Leather seats. Condition: Repainted bumper."
1569,Chevrolet,Aveo,2013,2868.21,239371,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2013 chevrolet aveo with Adaptive cruise control, Rear camera, Bluetooth. Condition: Repainted bumper."
1570,Chevrolet,Camaro,2012,20464.65,242275,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 chevrolet camaro with Bluetooth, Navigation system, Sunroof. Condition: Engine repaired."
1571,Chevrolet,Impala,2010,29349.81,122545,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2010 chevrolet impala with Rear camera, Navigation system, Leather seats, Sunroof. Condition: Accident history."
1572,Chevrolet,Tahoe,2021,30765.42,132164,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 chevrolet tahoe with Rear camera, Adaptive cruise control, Navigation system, Sunroof. Condition: Dented door."
1573,Chevrolet,Tahoe,2018,50574.78,281534,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2018 chevrolet tahoe with Navigation system, Rear camera, Sunroof. Condition: Accident history."
1574,Chevrolet,Camaro,2010,42709.14,68296,Coupe,8,Automatic Transmission,Gasoline,Yellow, Dubai,"2010 chevrolet camaro with Bluetooth, Rear camera, Adaptive cruise control, Sunroof. Condition: No damage."
1575,Chevrolet,Camaro,2014,37294.29,105093,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2014 chevrolet camaro with Leather seats, Adaptive cruise control, Bluetooth. Condition: Dented door."
1576,Chevrolet,Malibu,2024,9300.96,88157,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2024 chevrolet malibu with Bluetooth, Rear camera. Condition: No damage."
1577,Chevrolet,Camaro,2023,14992.83,25063,Sports Car,6,Automatic Transmission,Gasoline,Red, Dubai,"2023 chevrolet camaro with Adaptive cruise control, Sunroof. Condition: Dented door."
1578,Chevrolet,Tahoe,2011,36274.23,130785,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2011 chevrolet tahoe with Bluetooth, Sunroof, Navigation system, Rear camera. Condition: Dented door."
1579,Chevrolet,Suburban,2023,6021.81,96043,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 chevrolet suburban with Navigation system, Bluetooth. Condition: Accident history."
1580,Chevrolet,Captiva,2015,18499.32,244265,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2015 chevrolet captiva with Sunroof, Adaptive cruise control, Rear camera, Bluetooth. Condition: Dented door."
1581,Chevrolet,Camaro,2021,12346.29,102767,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai,"2021 chevrolet camaro with Sunroof, Leather seats, Navigation system. Condition: Engine repaired."
1582,Chevrolet,Tahoe,2017,37967.94,233068,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2017 chevrolet tahoe with Bluetooth, Adaptive cruise control, Sunroof, Rear camera. Condition: Accident history."
1583,Chevrolet,Tahoe,2015,10847.79,276488,SUV,8,Automatic Transmission,Gasoline,Burgundy, Dubai,"2015 chevrolet tahoe with Leather seats, Bluetooth. Condition: Accident history."
1584,Chevrolet,Malibu,2023,6638.22,202978,Sedan,4,Automatic Transmission,Gasoline,Other Color, Dubai,"2023 chevrolet malibu with Navigation system, Leather seats. Condition: Engine repaired."
1585,Chevrolet,Camaro,2006,13470.84,282256,Coupe,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2006 chevrolet camaro with Leather seats, Navigation system. Condition: No damage."
1586,Chevrolet,Tahoe,2022,12182.67,71709,SUV,8,Automatic Transmission,Gasoline,Burgundy, Dubai,"2022 chevrolet tahoe with Bluetooth, Leather seats. Condition: Accident history."
1587,Chevrolet,Tahoe,2018,25047.63,131536,SUV,8,Automatic Transmission,Gasoline,Silver, Ajman,"2018 chevrolet tahoe with Adaptive cruise control, Navigation system. Condition: Dented door."
1588,Chevrolet,Sonic,2005,3518.37,57082,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2005 chevrolet sonic with Adaptive cruise control, Navigation system, Sunroof. Condition: Accident history."
1589,Chevrolet,Silverado,2010,24980.4,219616,Other,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2010 chevrolet silverado with Rear camera, Navigation system, Bluetooth, Leather seats. Condition: Engine repaired."
1590,Chevrolet,Corvette,2010,40860.99,56130,Sports Car,8,Automatic Transmission,Gasoline,Black, Sharjah,"2010 chevrolet corvette with Navigation system, Leather seats. Condition: Engine repaired."
1591,Chevrolet,Captiva,2018,8934.3,265079,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2018 chevrolet captiva with Rear camera, Navigation system. Condition: No damage."
1592,Chevrolet,Trax,2007,9807.21,45135,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2007 chevrolet trax with Navigation system, Sunroof, Bluetooth. Condition: No damage."
1593,Chevrolet,Equinox,2020,15165.63,278879,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2020 chevrolet equinox with Adaptive cruise control, Bluetooth. Condition: Repainted bumper."
1594,Chevrolet,Camaro,2019,10993.05,51006,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2019 chevrolet camaro with Sunroof, Rear camera, Adaptive cruise control. Condition: Accident history."
1595,Chevrolet,Silverado,2015,8699.13,296814,Pick Up Truck,8,Automatic Transmission,Gasoline,Blue, Ajman,"2015 chevrolet silverado with Leather seats, Rear camera. Condition: Minor scratches."
1596,Chevrolet,Tahoe,2007,41711.76,288744,SUV,8,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2007 chevrolet tahoe with Bluetooth, Leather seats, Sunroof, Adaptive cruise control. Condition: Accident history."
1597,Chevrolet,Camaro,2006,18890.82,293181,Sports Car,6,Automatic Transmission,Gasoline,Yellow, Dubai,"2006 chevrolet camaro with Sunroof, Rear camera. Condition: Dented door."
1598,Chevrolet,Captiva,2014,7541.1,102416,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2014 chevrolet captiva with Leather seats, Adaptive cruise control, Navigation system. Condition: Accident history."
1599,Chevrolet,Tahoe,2015,6698.97,232231,SUV,8,Automatic Transmission,Gasoline,White,Sharjah,"2015 chevrolet tahoe with Bluetooth, Rear camera. Condition: No damage."
1600,Chevrolet,Caprice,2007,11884.59,23239,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2007 chevrolet caprice with Navigation system, Rear camera, Bluetooth. Condition: Engine repaired."
1601,Chevrolet,Blazer,2017,14468.22,214413,SUV,6,Automatic Transmission,Gasoline,Brown, Sharjah,"2017 chevrolet blazer with Navigation system, Adaptive cruise control. Condition: No damage."
1602,Chevrolet,Silverado,2006,30183.84,104805,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2006 chevrolet silverado with Adaptive cruise control, Sunroof, Navigation system. Condition: Accident history."
1603,Chevrolet,Tahoe,2011,25893,155625,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2011 chevrolet tahoe with Navigation system, Bluetooth, Sunroof, Leather seats. Condition: Engine repaired."
1604,Chevrolet,Equinox,2016,15144.03,145306,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2016 chevrolet equinox with Leather seats, Adaptive cruise control, Sunroof. Condition: No damage."
1605,Chevrolet,Camaro,2015,11220.39,195999,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2015 chevrolet camaro with Adaptive cruise control, Bluetooth. Condition: No damage."
1606,Chevrolet,Silverado,2006,38247.66,43384,Pick Up Truck,8,Automatic Transmission,Gasoline,Red, Dubai,"2006 chevrolet silverado with Rear camera, Navigation system. Condition: No damage."
1607,Chevrolet,Camaro,2017,7949.07,146958,Hard Top Convertible,6,Automatic Transmission,Gasoline,Yellow, Dubai,"2017 chevrolet camaro with Rear camera, Sunroof, Bluetooth. Condition: Accident history."
1608,Chevrolet,Camaro,2017,22959.45,224731,Sports Car,8,Automatic Transmission,Gasoline,Silver, Dubai,"2017 chevrolet camaro with Bluetooth, Navigation system, Sunroof. Condition: Repainted bumper."
1609,Chevrolet,Cruze,2017,7687.98,151617,Hatchback,4,Automatic Transmission,Gasoline,Black, Dubai,"2017 chevrolet cruze with Bluetooth, Leather seats. Condition: Repainted bumper."
1610,Chevrolet,Camaro,2015,55215,122524,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2015 chevrolet camaro with Bluetooth, Navigation system. Condition: No damage."
1611,Chevrolet,Tahoe,2019,7474.14,238302,SUV,8,Automatic Transmission,Gasoline,White,Sharjah,"2019 chevrolet tahoe with Bluetooth, Rear camera, Navigation system, Leather seats. Condition: No damage."
1612,Chevrolet,Silverado,2020,17977.95,16068,Pick Up Truck,8,Automatic Transmission,Gasoline,Brown, Dubai,"2020 chevrolet silverado with Adaptive cruise control, Sunroof, Leather seats, Navigation system. Condition: Repainted bumper."
1613,Chevrolet,Malibu,2013,4687.2,88117,Sedan,4,Automatic Transmission,Gasoline,Brown, Dubai,"2013 chevrolet malibu with Adaptive cruise control, Navigation system, Bluetooth. Condition: Accident history."
1614,Chevrolet,Corvette,2022,118522.44,123544,Sports Car,8,Automatic Transmission,Gasoline,White, Sharjah,"2022 chevrolet corvette with Navigation system, Leather seats. Condition: Repainted bumper."
1615,Chevrolet,Traverse,2022,20212.47,294546,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2022 chevrolet traverse with Rear camera, Bluetooth. Condition: Minor scratches."
1616,Chevrolet,Tahoe,2015,10355.31,174899,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2015 chevrolet tahoe with Bluetooth, Leather seats, Navigation system, Adaptive cruise control. Condition: No damage."
1617,Chevrolet,Traverse,2016,26004.78,254855,SUV,6,Automatic Transmission,Gasoline,Other Color, Abu Dhabi,"2016 chevrolet traverse with Adaptive cruise control, Sunroof, Leather seats, Rear camera. Condition: Minor scratches."
1618,Chevrolet,Traverse,2024,24355.35,209638,SUV,6,Automatic Transmission,Gasoline,Other Color, Abu Dhabi,"2024 chevrolet traverse with Adaptive cruise control, Bluetooth. Condition: Repainted bumper."
1619,Chevrolet,Tahoe,2023,68027.58,275490,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 chevrolet tahoe with Adaptive cruise control, Bluetooth. Condition: Dented door."
1620,Chevrolet,Silverado,2019,30205.98,253944,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2019 chevrolet silverado with Bluetooth, Sunroof, Rear camera, Leather seats. Condition: Repainted bumper."
1621,Chevrolet,Blazer,2010,32674.32,232583,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2010 chevrolet blazer with Sunroof, Leather seats. Condition: Engine repaired."
1622,Chevrolet,Silverado,2008,21938.58,17602,Utility Truck,8,Automatic Transmission,Gasoline,White, Dubai,"2008 chevrolet silverado with Adaptive cruise control, Leather seats, Bluetooth, Navigation system. Condition: Dented door."
1623,Chevrolet,Traverse,2023,6974.1,83388,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2023 chevrolet traverse with Rear camera, Adaptive cruise control, Bluetooth. Condition: Engine repaired."
1624,Chevrolet,Suburban,2014,32689.98,290379,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2014 chevrolet suburban with Leather seats, Navigation system. Condition: No damage."
1625,Chevrolet,Other,2024,18745.83,220696,Crossover,4,Automatic Transmission,Gasoline,Red, Dubai,"2024 chevrolet other with Rear camera, Leather seats, Sunroof. Condition: Engine repaired."
1626,Chevrolet,Tahoe,2024,42621.93,69561,SUV,8,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2024 chevrolet tahoe with Navigation system, Leather seats, Adaptive cruise control, Bluetooth. Condition: No damage."
1627,Chevrolet,Impala,2010,12013.38,250365,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2010 chevrolet impala with Navigation system, Sunroof, Rear camera, Adaptive cruise control. Condition: No damage."
1628,Chevrolet,Corvette,2010,32950.53,174061,Hard Top Convertible,8,Automatic Transmission,Gasoline,Red, Dubai,"2010 chevrolet corvette with Navigation system, Bluetooth. Condition: Engine repaired."
1629,Chevrolet,Corvette,2015,43753.77,244921,Sports Car,8,Automatic Transmission,Gasoline,Red,Abu Dhabi,"2015 chevrolet corvette with Bluetooth, Navigation system. Condition: Repainted bumper."
1630,Chevrolet,Blazer,2019,47268.36,40661,SUV,4,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2019 chevrolet blazer with Adaptive cruise control, Leather seats, Bluetooth, Navigation system. Condition: Engine repaired."
1631,Chevrolet,Camaro,2015,53821.8,287310,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2015 chevrolet camaro with Bluetooth, Leather seats, Sunroof, Adaptive cruise control. Condition: Engine repaired."
1632,Chevrolet,Equinox,2017,12129.48,103990,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2017 chevrolet equinox with Navigation system, Adaptive cruise control. Condition: Minor scratches."
1633,Chevrolet,Tahoe,2016,35960.76,202222,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2016 chevrolet tahoe with Leather seats, Bluetooth. Condition: Repainted bumper."
1634,Chevrolet,Other,2010,16600.14,115483,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai,"2010 chevrolet other with Sunroof, Navigation system, Leather seats. Condition: Engine repaired."
1635,Chevrolet,Traverse,2006,11354.58,73877,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai,"2006 chevrolet traverse with Rear camera, Adaptive cruise control. Condition: No damage."
1636,Chevrolet,Aveo,2015,10913.94,61206,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2015 chevrolet aveo with Rear camera, Sunroof. Condition: Accident history."
1637,Chevrolet,Camaro,2023,20421.72,84817,Sports Car,4,Automatic Transmission,Gasoline,Grey, Sharjah,"2023 chevrolet camaro with Leather seats, Rear camera. Condition: Dented door."
1638,Chevrolet,Aveo,2023,7555.95,21578,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 chevrolet aveo with Sunroof, Rear camera. Condition: No damage."
1639,Chevrolet,Camaro,2019,20095.83,237150,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2019 chevrolet camaro with Rear camera, Navigation system, Sunroof, Bluetooth. Condition: Minor scratches."
1640,Chevrolet,Silverado,2013,18179.1,194191,SUV,6,Automatic Transmission,Gasoline,Brown, Sharjah,"2013 chevrolet silverado with Rear camera, Leather seats, Navigation system. Condition: Minor scratches."
1641,Chevrolet,Traverse,2021,8443.71,32023,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2021 chevrolet traverse with Rear camera, Navigation system, Adaptive cruise control, Sunroof. Condition: Repainted bumper."
1642,Chevrolet,Malibu,2018,6376.32,202665,Sedan,4,Automatic Transmission,Gasoline,Other Color, Dubai,"2018 chevrolet malibu with Adaptive cruise control, Navigation system. Condition: Minor scratches."
1643,Chevrolet,Silverado,2022,69238.26,287918,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 chevrolet silverado with Leather seats, Sunroof, Adaptive cruise control, Bluetooth. Condition: Engine repaired."
1644,Chevrolet,Captiva,2012,14632.65,106632,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2012 chevrolet captiva with Navigation system, Adaptive cruise control. Condition: Dented door."
1645,Chevrolet,Camaro,2024,20506.23,131341,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 chevrolet camaro with Leather seats, Adaptive cruise control, Bluetooth, Navigation system. Condition: No damage."
1646,Chevrolet,Silverado,2022,38918.61,297636,SUV,6,Automatic Transmission,Gasoline,Grey, Sharjah,"2022 chevrolet silverado with Sunroof, Bluetooth, Rear camera, Leather seats. Condition: Accident history."
1647,Chevrolet,Silverado,2005,19389.51,136161,Pick Up Truck,8,Automatic Transmission,Gasoline,Brown, Dubai,"2005 chevrolet silverado with Leather seats, Bluetooth. Condition: Dented door."
1648,Chevrolet,Aveo,2016,3706.83,229032,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2016 chevrolet aveo with Sunroof, Leather seats, Navigation system, Adaptive cruise control. Condition: Minor scratches."
1649,Chevrolet,Cruze,2018,4696.92,267341,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2018 chevrolet cruze with Bluetooth, Sunroof, Adaptive cruise control. Condition: Minor scratches."
1650,Chevrolet,Camaro,2022,29316.06,269377,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai,"2022 chevrolet camaro with Leather seats, Bluetooth, Navigation system. Condition: No damage."
1651,Chevrolet,Tahoe,2006,9545.31,129783,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2006 chevrolet tahoe with Rear camera, Sunroof. Condition: Engine repaired."
1652,Chevrolet,Silverado,2005,26601.75,122002,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2005 chevrolet silverado with Rear camera, Bluetooth. Condition: Repainted bumper."
1653,Chevrolet,Traverse,2016,8419.68,184533,SUV,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2016 chevrolet traverse with Adaptive cruise control, Rear camera. Condition: Minor scratches."
1654,Chevrolet,Equinox,2023,15284.43,257238,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2023 chevrolet equinox with Rear camera, Leather seats, Adaptive cruise control, Navigation system. Condition: Dented door."
1655,Chevrolet,Malibu,2023,6222.42,247927,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 chevrolet malibu with Navigation system, Adaptive cruise control, Rear camera. Condition: Accident history."
1656,Chevrolet,Aveo,2007,7439.04,262811,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2007 chevrolet aveo with Sunroof, Leather seats, Rear camera, Adaptive cruise control. Condition: No damage."
1657,Chevrolet,Traverse,2008,24562.71,221533,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2008 chevrolet traverse with Rear camera, Adaptive cruise control, Navigation system, Sunroof. Condition: Repainted bumper."
1658,Chevrolet,Captiva,2005,6310.71,168054,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2005 chevrolet captiva with Rear camera, Bluetooth, Sunroof. Condition: Minor scratches."
1659,Chevrolet,Camaro,2005,17302.68,202307,Sports Car,6,Automatic Transmission,Gasoline,Blue, Sharjah,"2005 chevrolet camaro with Leather seats, Navigation system. Condition: Accident history."
1660,Chevrolet,Corvette,2023,113793.66,273575,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2023 chevrolet corvette with Rear camera, Navigation system, Adaptive cruise control. Condition: No damage."
1661,Chevrolet,Other,2011,17264.88,249498,Crossover,4,Automatic Transmission,Gasoline,Red, Dubai,"2011 chevrolet other with Adaptive cruise control, Leather seats, Bluetooth. Condition: Minor scratches."
